category,drop,target,task,train_path,valid_path,test_path,model,gpu,cross_f,exp_id,train time (sec),logloss_val,logloss_test,log_path,nu,cross_type,opt_params,nn_model,auc_val,auc_test
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,,93864854681482681169,1.7310259342193604,2.1332690845536333,2.144629434518516,/dnn2lr/models/linear/output/93864854681482681169/log.pickle,,,,,,
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount', 'Occupation_Credit_Mix_Month_', 'Credit_Mix_Month_Payment_of_Min_Amount_', 'Occupation_Credit_Mix_Payment_Behaviour_']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,"[[1, 2, 0], [2, 0, 4], [1, 2, 3]]",32507939184480728766,1.8612117767333984,2.1659243527853063,2.1752898221189776,/dnn2lr/models/linear/output/32507939184480728766/log.pickle,,,,,,
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount', 'Payment_Behaviour_Credit_Mix_Payment_of_Min_Amount_', 'Payment_Behaviour_Payment_of_Min_Amount_Occupation_', 'Payment_Behaviour_Month_Payment_of_Min_Amount_']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,"[[3, 2, 4], [3, 4, 1], [3, 0, 4]]",62270458905311834764,1.9206345081329343,2.134225734254079,2.144538109285136,/dnn2lr/models/linear/output/62270458905311834764/log.pickle,,,,,,
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount', 'Credit_Mix_Occupation_Payment_of_Min_Amount_', 'Month_Occupation_Payment_Behaviour_', 'Month_Payment_of_Min_Amount_Payment_Behaviour_']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,"[[2, 1, 4], [0, 1, 3], [0, 4, 3]]",10555096977712842379,1.9354221820831297,2.133785728189562,2.1456730908416213,/dnn2lr/models/linear/output/10555096977712842379/log.pickle,,,,,,
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount', 'Payment_of_Min_Amount_Payment_Behaviour_Credit_Mix_', 'Payment_Behaviour_Month_Credit_Mix_', 'Occupation_Payment_of_Min_Amount_Month_']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,"[[4, 3, 2], [3, 0, 2], [1, 4, 0]]",17745233641746745815,1.8321430683135984,2.1486334354856185,2.160577154097458,/dnn2lr/models/linear/output/17745233641746745815/log.pickle,,,,,,
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount', 'Payment_of_Min_Amount_Month_Occupation_', 'Month_Payment_Behaviour_Occupation_', 'Credit_Mix_Payment_Behaviour_Occupation_']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,"[[4, 0, 1], [0, 3, 1], [2, 3, 1]]",19597966180396381262,1.8206419944763184,2.133558351131422,2.1470523668875297,/dnn2lr/models/linear/output/19597966180396381262/log.pickle,,,,,,
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount', 'Payment_of_Min_Amount_Occupation_Credit_Mix_', 'Payment_of_Min_Amount_Occupation_Payment_Behaviour_', 'Occupation_Payment_Behaviour_Month_']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,"[[4, 1, 2], [4, 1, 3], [1, 3, 0]]",63899758430601025138,1.87113356590271,2.130062191023358,2.143309194645534,/dnn2lr/models/linear/output/63899758430601025138/log.pickle,,,,,,
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount', 'Month_Credit_Mix_Payment_Behaviour_', 'Month_Occupation_Payment_Behaviour_', 'Occupation_Credit_Mix_Payment_Behaviour_']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,"[[0, 2, 3], [0, 1, 3], [1, 2, 3]]",75556958464183089477,1.927347183227539,2.144205317146012,2.157621604093661,/dnn2lr/models/linear/output/75556958464183089477/log.pickle,,,,,,
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount', 'Month_Credit_Mix_Payment_of_Min_Amount_', 'Occupation_Credit_Mix_Payment_of_Min_Amount_', 'Occupation_Month_Payment_of_Min_Amount_']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,"[[0, 2, 4], [1, 2, 4], [1, 0, 4]]",02284508115556560345,1.8706707954406736,2.1615186622047,2.174011695422232,/dnn2lr/models/linear/output/02284508115556560345/log.pickle,,,,,,
"['Month', 'Occupation', 'Credit_Mix', 'Payment_Behaviour', 'Payment_of_Min_Amount', 'Occupation_Payment_of_Min_Amount_Month_', 'Payment_of_Min_Amount_Month_Payment_Behaviour_', 'Occupation_Payment_of_Min_Amount_Payment_Behaviour_']","['ID', 'Customer_ID', 'Name', 'Type_of_Loan']",Credit_Score,multiclass,/dnn2lr/data/splits/credit/train.csv,/dnn2lr/data/splits/credit/valid.csv,/dnn2lr/data/splits/credit/test.csv,linear,1,"[[1, 4, 0], [4, 0, 3], [1, 4, 3]]",67019857512409596950,1.7997009754180908,2.138199201785028,2.150187370836735,/dnn2lr/models/linear/output/67019857512409596950/log.pickle,,,,,,
